FENOX;T1976;29,3;3
FENOX;T1985;40,75;2
FENOX;T20025;103,59;2
FENOX;T2008;40,07;2
FENOX;T20113;39,39;1
FENOX;T2012;33,94;3
FENOX;T20125;49,34;2
FENOX;T20126;49,34;2
FENOX;T2014;13,22;1
FENOX;T20141;59,56;1
FENOX;T20153;86,01;>10
FENOX;T20160;77,55;5
FENOX;T2018;79,6;1
FENOX;T2027;37,89;1
FENOX;T2031;41,16;1
FENOX;T2040;45,93;3
FENOX;T2050;23,58;3
FENOX;T2053;37,48;2
FENOX;T2057;52,48;1
FENOX;T2064;49,61;1
FENOX;T2065;55,61;1
FENOX;T2066;31,35;3
FENOX;T2068;38,03;1
FENOX;T2072;45,52;1
FENOX;T2073;42,8;1
FENOX;T2074;40,75;1
FENOX;T2088;44,57;1
FENOX;T2206;27,94;2
FENOX;T22120;63,79;1
FENOX;T22121;51,25;1
FENOX;T22127;68,42;1
FENOX;T22129;70,47;4
FENOX;T22133;63,92;2
FENOX;T22136;79,46;1
FENOX;T22143;81,78;2
FENOX;T22144;91,87;1
FENOX;T22146;88,6;2
FENOX;T22156;99,23;2
FENOX;T22159;103,32;1
FENOX;T2217;39,53;2
FENOX;T2226;53,29;2
FENOX;T2231;28,49;2
FENOX;T2238;40,75;2
FENOX;T2252;64,88;1
FENOX;T2267;53,16;1
FENOX;T2280;63,65;1
FENOX;T2304;76,87;1
FENOX;T23101;89,82;1
FENOX;T23104;90,64;2
FENOX;T23106;67,06;1
FENOX;T23110;71,56;1
FENOX;T23116;85,6;2
FENOX;T2312;42,53;1
FENOX;T23124;71,42;3
FENOX;T23125;72,38;1
FENOX;T2313;44,84;2
FENOX;T2314;62,7;2
FENOX;T2317;53,16;3
FENOX;T2319;87,23;1
FENOX;T2339;52,88;1
FENOX;T2341;84,23;1
FENOX;T2342;78,92;3
FENOX;T2347;71,01;3
FENOX;T2348;71,83;2
FENOX;T2352;54,66;3
FENOX;T2354;87,64;1
FENOX;T2355;68,29;1
FENOX;T2356;72,51;2
FENOX;T2378;117,76;2
FENOX;T2386;62,7;2
FENOX;T2387;52,88;4
FENOX;T2391;56,02;1
FENOX;T2392;83,14;1
FENOX;T2393;53,02;2
FENOX;T2507;60,65;10
FENOX;T2509;54,25;2
FENOX;T2518;67,47;1
FENOX;T2520;95,27;1
FENOX;T2535;129,76;2
FENOX;T2536;97,32;2
FENOX;T2539;86,96;2
FENOX;T2541;74,83;2
FENOX;T2569;87,5;1
FENOX;T2574;58,2;3
FENOX;T2575;59,43;1
FENOX;T2576;57,93;3
LPR/Rodeo;802682;76,98;1
LPR/Rodeo;802685;44,26;4
LPR/Rodeo;802709;85,91;4
LPR/Rodeo;802730;77,09;5
LPR/Rodeo;807442;38,6;1
LPR/Rodeo;807451;49,45;1
LPR/Rodeo;808447;56,22;10
LPR/Rodeo;808500;46,01;1
LPR/Rodeo;809723;72,47;1
LPR/Rodeo;810713;66,92;2
LPR/Rodeo;811099;33,09;1
LPR/Rodeo;812591;43,9;2
LPR/Rodeo;816022;40,25;1
LPR/Rodeo;816137;42,59;1
LPR/Rodeo;817526;65,11;4
LPR/Rodeo;817527;79,87;1
LPR/Rodeo;817530;82,52;1
LPR/Rodeo;824002;71,72;1
LPR/Rodeo;830005;82,12;1
LPR/Rodeo;830014;47,81;1
LPR/Rodeo;830031;85,5;1
LPR/Rodeo;830039;68,11;1
LPR/Rodeo;830053;76,41;2
LPR/Rodeo;830105;94,78;2
LPR/Rodeo;830173;121,72;1
LPR/Rodeo;830214;78,25;1
LPR/Rodeo;830215;52,09;3
LPR/Rodeo;830243;59,41;1
LPR/Rodeo;830250;92,4;1
Sfec;BC001183;33,1;2
Sfec;BC001922;32,83;2
FENOX;C1521;30,94;1
FENOX;C1543;96,64;1
FENOX;C1547;68,15;3
FENOX;C1549;73,74;2
FENOX;C1550;51,39;1
FENOX;C1916;28,21;2
FENOX;C1920;24,67;1
FENOX;C1930;20,99;2
FENOX;C1931;20,85;3
FENOX;C1936;30,67;1
FENOX;C1938;49,2;3
FENOX;C1943;58,47;2
FENOX;C1946;40,34;3
FENOX;C1950;42,12;3
FENOX;C1956;52,07;2
FENOX;C1961;32,3;1
FENOX;C1974;104,27;3
FENOX;C2005;18,81;1
LPR/Rodeo;702002;38,76;1
LPR/Rodeo;702900;41,41;1
LPR/Rodeo;705870;30,78;1
LPR/Rodeo;716100;36,49;5
LPR/Rodeo;716103;56,16;3
LPR/Rodeo;717751;27,49;3
LPR/Rodeo;717754;48,17;2
